,zona,enderecos_lista,area,quartos,aluguel
56,norte,"Avenida Conceição, Vila Paiva, São Paulo Zona Norte, São Paulo",63.0,1.0,3060
57,norte,"Rua Moreira De Vasconcelos, Vila Maria Alta, São Paulo Zona Norte, São Paulo",155.0,2.0,3060
58,norte,"Rua Comendador César Alfieri, Parque São Luís, São Paulo Zona Norte, São Paulo",50.0,2.0,1260
59,norte,"Avenida Ultramarino, Lauzane Paulista, São Paulo Zona Norte, São Paulo",50.0,2.0,1417
60,norte,"Avenida Das Flores, Jardim Peri, São Paulo Zona Norte, São Paulo",40.0,1.0,1500
61,norte,"Avenida Raimundo Pereira De Magalhães, Jardim Peri, São Paulo Zona Norte, São Paulo",42.0,1.0,1400
62,norte,"Travessa Renê Vannes, Jardim Peri, São Paulo Zona Norte, São Paulo",110.0,2.0,1600
63,norte,"Rua Alegria, Jardim Brasília (zona Norte), São Paulo Zona Norte, São Paulo",39.0,1.0,1900
64,norte,"Rua Voluntários Da Pátria, Santana, São Paulo Zona Norte, São Paulo",82.0,3.0,3570
65,norte,"Rua Dolores Duran, Vila Basileia, São Paulo Zona Norte, São Paulo",80.0,2.0,1976
66,norte,"Rua Silva Guimarães, Vila Ede, São Paulo Zona Norte, São Paulo",110.0,4.0,2200
67,norte,"Rua Catugi, Vila Germinal, São Paulo Zona Norte, São Paulo",45.0,2.0,1500
68,norte,"Rua Salete, Santana, São Paulo Zona Norte, São Paulo",130.0,3.0,3800
69,norte,"Avenida Imperatriz Leopoldina, Jardim Peri, São Paulo Zona Norte, São Paulo",47.0,2.0,1872
70,norte,"Rua São Mauro, Jardim São Bento, São Paulo Zona Norte, São Paulo",350.0,5.0,4300
71,norte,"Rua Guaranésia, Vila Maria Baixa, São Paulo Zona Norte, São Paulo",79.0,2.0,3000
72,norte,"Alameda Segundo-sargento Ananias Holanda De Oliveira, Parque Novo Mundo, São Paulo Zona Norte, São Paulo",80.0,2.0,1200
73,norte,"Rua Alfredo Pujol, Santana, São Paulo Zona Norte, São Paulo",60.0,3.0,2200
74,norte,"Estrada Do Sabão, Jardim Maristela, São Paulo Zona Norte, São Paulo",275.0,3.0,3270
75,norte,"Rua Emílio Goeldi, Jardim Peri, São Paulo Zona Norte, São Paulo",64.0,3.0,2270
76,norte,"Avenida Rangel Pestana, Jardim Brasília (zona Norte), São Paulo Zona Norte, São Paulo",38.0,1.0,2810
77,norte,"Rua Igarité, Vila Nova Carolina, São Paulo Zona Norte, São Paulo",60.0,3.0,2620
78,norte,"Rua Voluntários Da Pátria, Santana, São Paulo Zona Norte, São Paulo",160.0,3.0,5000
79,norte,"Praça Rafael Mendes De Carvalho, Jardim Paraíso, São Paulo Zona Norte, São Paulo",50.0,1.0,900
80,norte,"Avenida Ede, Vila Ede, São Paulo Zona Norte, São Paulo",140.0,3.0,2700
81,norte,"Rua Ciridião Durval, Vila Paulista, São Paulo Zona Norte, São Paulo",40.0,1.0,2300
82,norte,"Rua Anthêmios De Tralles, Vila Nova Mazzei, São Paulo Zona Norte, São Paulo",125.0,3.0,2800
83,norte,"Mandaqui, São Paulo Zona Norte, São Paulo",160.0,,5500
84,norte,"Rua Manuel Pitta, Vila Pita, São Paulo Zona Norte, São Paulo",50.0,1.0,1000
85,norte,"Avenida Inajar De Souza, Limão, São Paulo Zona Norte, São Paulo",45.0,1.0,1500
86,norte,"Rua Domiciano Ribeiro, Casa Verde Alta, São Paulo Zona Norte, São Paulo",50.0,1.0,787
87,norte,"Avenida Yara, Jardim Peri, São Paulo Zona Norte, São Paulo",65.0,2.0,1588
88,norte,"Rua São Zeferino, Jardim França, São Paulo Zona Norte, São Paulo",72.0,2.0,1600
89,norte,"Avenida Maestro Villa Lobos, Vila Gustavo, São Paulo Zona Norte, São Paulo",43.0,2.0,1300
90,norte,"Avenida Gustavo Adolfo, Vila Gustavo, São Paulo Zona Norte, São Paulo",38.0,2.0,1320
91,norte,"Rua Lauro Megale, Parque Novo Mundo, São Paulo Zona Norte, São Paulo",40.0,1.0,850
92,norte,"Rua Benfica, Jardim Brasil, São Paulo Zona Norte, São Paulo",60.0,1.0,680
93,norte,"Santana, São Paulo Zona Norte, São Paulo",50.0,,5500
94,norte,"Jardim São Paulo, São Paulo Zona Norte, São Paulo",120.0,,5000
95,norte,"Avenida Rangel Pestana, Jardim Brasília (zona Norte), São Paulo Zona Norte, São Paulo",32.0,1.0,1260
96,norte,"Nobrega De Souza Coutinho 05, Jardim Peri, São Paulo Zona Norte, São Paulo",70.0,1.0,600
97,norte,"Enoch Barreira De Macedo 88, Parque Tietê, São Paulo Zona Norte, São Paulo",90.0,1.0,900
98,norte,"Rua José Eduardo Raduan 5, Parque Edu Chaves, São Paulo Zona Norte, São Paulo",80.0,2.0,1299
99,norte,"Rua Campo Belo Do Sul 113, Parque Vitória, São Paulo Zona Norte, São Paulo",50.0,1.0,1000
100,norte,"Rua Brandão Agrões 176, Jardim Peri, São Paulo Zona Norte, São Paulo",50.0,1.0,800
101,norte,"Rua José De Sá Brito 26, Mandaqui, São Paulo Zona Norte, São Paulo",92.0,2.0,1600
102,norte,"Narita, Jardim Japão, São Paulo Zona Norte, São Paulo",56.0,2.0,1300
103,norte,"Avenida Júlio Buono, Vila Guilherme, São Paulo Zona Norte, São Paulo",50.0,2.0,700
104,norte,"Presidente Jânio Da Silva Quadros, Jardim Japão, São Paulo Zona Norte, São Paulo",70.0,2.0,1200
105,norte,"Dr. José Gustavo Nunes 8, Parque Edu Chaves, São Paulo Zona Norte, São Paulo",50.0,2.0,920
106,norte,"Rua Vicente Ferreira Leite, Vila Siqueira (zona Norte), São Paulo Zona Norte, São Paulo",45.0,2.0,1000
107,norte,"Rua Vicente Ferreira Leite, Vila Siqueira (zona Norte), São Paulo Zona Norte, São Paulo",28.0,,750
108,norte,"Av. Nossa Senhora Do Loreto 237, Vila Medeiros, São Paulo Zona Norte, São Paulo",35.0,1.0,900
109,norte,"Rua Carlos Escobar 282, Santana, São Paulo Zona Norte, São Paulo",10.0,1.0,800
110,norte,"Rua Augusto Tolle,,
                408, Santana, São Paulo Zona Norte, São Paulo",107.0,4.0,2500
111,norte,"Yedo, Vila Maria Alta, São Paulo Zona Norte, São Paulo",65.0,2.0,1700
112,norte,"Avenida Penha Brasil 2651, Vila Francos, São Paulo Zona Norte, São Paulo",47.0,2.0,1000
113,norte,"Avenida Franz Liszt, Jardim Guança, São Paulo Zona Norte, São Paulo",7800.0,,115000
114,norte,"Rua Santo Egídio,,
                709, Santa Teresinha, São Paulo Zona Norte, São Paulo",107.0,3.0,2500
115,norte,"R Gaspar Soares, Jardim São Paulo, São Paulo Zona Norte, São Paulo",132.0,,2300
116,norte,"General Ataliba Leonel, Parada Inglesa, São Paulo Zona Norte, São Paulo",65.0,2.0,1400
117,norte,"Sob Consulta, Parque Mandaqui, São Paulo Zona Norte, São Paulo",45.0,2.0,1800
118,norte,"Rua Aída Gomes Tolêdo, Imirim, São Paulo Zona Norte, São Paulo",47.0,2.0,1000
119,norte,"Avenida Deputado Emílio Carlos,
                674b, Limão, São Paulo Zona Norte, São Paulo",130.0,,2500
120,norte,"Jardim Peri, São Paulo Zona Norte, São Paulo",950.0,,21000
121,norte,"Avenida Mazzei, Vila Mazzei, São Paulo Zona Norte, São Paulo",15.0,1.0,750
122,norte,"Sob Consulta, Parque Mandaqui, São Paulo Zona Norte, São Paulo",67.0,2.0,1600
123,norte,"Rua João De Souto Maior, Vila Medeiros, São Paulo Zona Norte, São Paulo",55.0,2.0,1450
124,norte,"Rua Emílio Goeldi, Jardim Peri, São Paulo Zona Norte, São Paulo",62.0,3.0,2200
125,norte,"Jardim França, São Paulo Zona Norte, São Paulo",160.0,4.0,5400
126,norte,"Lucerna, Jardim Leonor Mendes De Barros, São Paulo Zona Norte, São Paulo",70.0,2.0,1800
127,norte,"Jose Pedro D´oro 451, Vila Francos, São Paulo Zona Norte, São Paulo",50.0,2.0,1400
128,norte,"Rua Artur, Imirim, São Paulo Zona Norte, São Paulo",48.0,2.0,1200
129,norte,"Rua Epaminondas Melo Do Amaral, Sítio Do Mandaqui, São Paulo Zona Norte, São Paulo",46.0,2.0,1400
130,norte,"R Doutor Artur Guimarães, Santana, São Paulo Zona Norte, São Paulo",30.0,,2000
131,norte,"Rua José De Almeida, Vila Medeiros, São Paulo Zona Norte, São Paulo",35.0,1.0,900
132,norte,"Rua Santo Adolfo, Vila Medeiros, São Paulo Zona Norte, São Paulo",120.0,2.0,1200
133,norte,"Conceição, Jardim Japão, São Paulo Zona Norte, São Paulo",110.0,2.0,2200
134,norte,"Rua Paulo Vidigal Vicente De Azevedo, Jardim Peri, São Paulo Zona Norte, São Paulo",58.0,2.0,1550
135,norte,"Rua Antônio Dias Da Silva, Vila Amália, São Paulo Zona Norte, São Paulo",60.0,2.0,1120
136,norte,"Avenida Guilherme Cotching, Vila Maria, São Paulo Zona Norte, São Paulo",80.0,3.0,1910
137,norte,"Avenida Mazzei, Vila Mazzei, São Paulo Zona Norte, São Paulo",80.0,3.0,1300
